Label,Accession,Title,Sample_title,Sample_geo_accession,Sample_source_name_ch1,Sample_characteristics_ch1,Sample_characteristics_ch1.1,Sample_characteristics_ch1.2,Sample_description,ID_REF
3,GSM1881797,"H1N1 DEE3 Subject 3, Hour 93",H1N1.DEE3.Subject.3..Hour.93,GSM1881797,"peripheral blood of H1N1 DEE3 subject 3, hour 93",virus: H1N1,time point: hour 93,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_54,GSM1881797
4,GSM1881798,"H1N1 DEE3 Subject 3, Hour 101",H1N1.DEE3.Subject.3..Hour.101,GSM1881798,"peripheral blood of H1N1 DEE3 subject 3, hour 101",virus: H1N1,time point: hour 101,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_55,GSM1881798
4,GSM1881799,"H1N1 DEE3 Subject 3, Hour 108",H1N1.DEE3.Subject.3..Hour.108,GSM1881799,"peripheral blood of H1N1 DEE3 subject 3, hour 108",virus: H1N1,time point: hour 108,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_56,GSM1881799
4,GSM1881800,"H1N1 DEE3 Subject 3, Hour 118",H1N1.DEE3.Subject.3..Hour.118,GSM1881800,"peripheral blood of H1N1 DEE3 subject 3, hour 118",virus: H1N1,time point: hour 118,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_57,GSM1881800
4,GSM1881801,"H1N1 DEE3 Subject 3, Hour 125",H1N1.DEE3.Subject.3..Hour.125,GSM1881801,"peripheral blood of H1N1 DEE3 subject 3, hour 125",virus: H1N1,time point: hour 125,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_58,GSM1881801
4,GSM1881802,"H1N1 DEE3 Subject 3, Hour 142",H1N1.DEE3.Subject.3..Hour.142,GSM1881802,"peripheral blood of H1N1 DEE3 subject 3, hour 142",virus: H1N1,time point: hour 142,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_59,GSM1881802
4,GSM1881803,"H1N1 DEE3 Subject 3, Hour 166",H1N1.DEE3.Subject.3..Hour.166,GSM1881803,"peripheral blood of H1N1 DEE3 subject 3, hour 166",virus: H1N1,time point: hour 166,subject: H1N1 DEE3 subject 3,H1N1_DEE3_SAMPLE_60,GSM1881803
1,GSM1881804,"H1N1 DEE3 Subject 4, Hour -21",H1N1.DEE3.Subject.4..Hour..21,GSM1881804,"peripheral blood of H1N1 DEE3 subject 4, hour -21",virus: H1N1,time point: hour -21,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_61,GSM1881804
1,GSM1881805,"H1N1 DEE3 Subject 4, Hour 0",H1N1.DEE3.Subject.4..Hour.0,GSM1881805,"peripheral blood of H1N1 DEE3 subject 4, hour 0",virus: H1N1,time point: hour 0,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_62,GSM1881805
2,GSM1881806,"H1N1 DEE3 Subject 4, Hour 5",H1N1.DEE3.Subject.4..Hour.5,GSM1881806,"peripheral blood of H1N1 DEE3 subject 4, hour 5",virus: H1N1,time point: hour 5,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_63,GSM1881806
2,GSM1881807,"H1N1 DEE3 Subject 4, Hour 12",H1N1.DEE3.Subject.4..Hour.12,GSM1881807,"peripheral blood of H1N1 DEE3 subject 4, hour 12",virus: H1N1,time point: hour 12,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_64,GSM1881807
2,GSM1881808,"H1N1 DEE3 Subject 4, Hour 21",H1N1.DEE3.Subject.4..Hour.21,GSM1881808,"peripheral blood of H1N1 DEE3 subject 4, hour 21",virus: H1N1,time point: hour 21,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_65,GSM1881808
2,GSM1881809,"H1N1 DEE3 Subject 4, Hour 29",H1N1.DEE3.Subject.4..Hour.29,GSM1881809,"peripheral blood of H1N1 DEE3 subject 4, hour 29",virus: H1N1,time point: hour 29,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_66,GSM1881809
2,GSM1881810,"H1N1 DEE3 Subject 4, Hour 36",H1N1.DEE3.Subject.4..Hour.36,GSM1881810,"peripheral blood of H1N1 DEE3 subject 4, hour 36",virus: H1N1,time point: hour 36,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_67,GSM1881810
2,GSM1881811,"H1N1 DEE3 Subject 4, Hour 45",H1N1.DEE3.Subject.4..Hour.45,GSM1881811,"peripheral blood of H1N1 DEE3 subject 4, hour 45",virus: H1N1,time point: hour 45,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_68,GSM1881811
2,GSM1881812,"H1N1 DEE3 Subject 4, Hour 53",H1N1.DEE3.Subject.4..Hour.53,GSM1881812,"peripheral blood of H1N1 DEE3 subject 4, hour 53",virus: H1N1,time point: hour 53,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_69,GSM1881812
2,GSM1881813,"H1N1 DEE3 Subject 4, Hour 60",H1N1.DEE3.Subject.4..Hour.60,GSM1881813,"peripheral blood of H1N1 DEE3 subject 4, hour 60",virus: H1N1,time point: hour 60,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_70,GSM1881813
2,GSM1881814,"H1N1 DEE3 Subject 4, Hour 69",H1N1.DEE3.Subject.4..Hour.69,GSM1881814,"peripheral blood of H1N1 DEE3 subject 4, hour 69",virus: H1N1,time point: hour 69,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_71,GSM1881814
2,GSM1881815,"H1N1 DEE3 Subject 4, Hour 77",H1N1.DEE3.Subject.4..Hour.77,GSM1881815,"peripheral blood of H1N1 DEE3 subject 4, hour 77",virus: H1N1,time point: hour 77,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_72,GSM1881815
2,GSM1881816,"H1N1 DEE3 Subject 4, Hour 84",H1N1.DEE3.Subject.4..Hour.84,GSM1881816,"peripheral blood of H1N1 DEE3 subject 4, hour 84",virus: H1N1,time point: hour 84,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_73,GSM1881816
2,GSM1881817,"H1N1 DEE3 Subject 4, Hour 93",H1N1.DEE3.Subject.4..Hour.93,GSM1881817,"peripheral blood of H1N1 DEE3 subject 4, hour 93",virus: H1N1,time point: hour 93,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_74,GSM1881817
2,GSM1881818,"H1N1 DEE3 Subject 4, Hour 101",H1N1.DEE3.Subject.4..Hour.101,GSM1881818,"peripheral blood of H1N1 DEE3 subject 4, hour 101",virus: H1N1,time point: hour 101,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_75,GSM1881818
2,GSM1881819,"H1N1 DEE3 Subject 4, Hour 108",H1N1.DEE3.Subject.4..Hour.108,GSM1881819,"peripheral blood of H1N1 DEE3 subject 4, hour 108",virus: H1N1,time point: hour 108,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_76,GSM1881819
2,GSM1881820,"H1N1 DEE3 Subject 4, Hour 118",H1N1.DEE3.Subject.4..Hour.118,GSM1881820,"peripheral blood of H1N1 DEE3 subject 4, hour 118",virus: H1N1,time point: hour 118,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_77,GSM1881820
2,GSM1881821,"H1N1 DEE3 Subject 4, Hour 125",H1N1.DEE3.Subject.4..Hour.125,GSM1881821,"peripheral blood of H1N1 DEE3 subject 4, hour 125",virus: H1N1,time point: hour 125,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_78,GSM1881821
2,GSM1881822,"H1N1 DEE3 Subject 4, Hour 142",H1N1.DEE3.Subject.4..Hour.142,GSM1881822,"peripheral blood of H1N1 DEE3 subject 4, hour 142",virus: H1N1,time point: hour 142,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_79,GSM1881822
2,GSM1881823,"H1N1 DEE3 Subject 4, Hour 166",H1N1.DEE3.Subject.4..Hour.166,GSM1881823,"peripheral blood of H1N1 DEE3 subject 4, hour 166",virus: H1N1,time point: hour 166,subject: H1N1 DEE3 subject 4,H1N1_DEE3_SAMPLE_80,GSM1881823
1,GSM1881844,"H1N1 DEE3 Subject 6, Hour -21",H1N1.DEE3.Subject.6..Hour..21,GSM1881844,"peripheral blood of H1N1 DEE3 subject 6, hour -21",virus: H1N1,time point: hour -21,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_101,GSM1881844
1,GSM1881845,"H1N1 DEE3 Subject 6, Hour 0",H1N1.DEE3.Subject.6..Hour.0,GSM1881845,"peripheral blood of H1N1 DEE3 subject 6, hour 0",virus: H1N1,time point: hour 0,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_102,GSM1881845
3,GSM1881846,"H1N1 DEE3 Subject 6, Hour 5",H1N1.DEE3.Subject.6..Hour.5,GSM1881846,"peripheral blood of H1N1 DEE3 subject 6, hour 5",virus: H1N1,time point: hour 5,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_103,GSM1881846
3,GSM1881847,"H1N1 DEE3 Subject 6, Hour 12",H1N1.DEE3.Subject.6..Hour.12,GSM1881847,"peripheral blood of H1N1 DEE3 subject 6, hour 12",virus: H1N1,time point: hour 12,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_104,GSM1881847
3,GSM1881848,"H1N1 DEE3 Subject 6, Hour 21",H1N1.DEE3.Subject.6..Hour.21,GSM1881848,"peripheral blood of H1N1 DEE3 subject 6, hour 21",virus: H1N1,time point: hour 21,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_105,GSM1881848
3,GSM1881849,"H1N1 DEE3 Subject 6, Hour 29",H1N1.DEE3.Subject.6..Hour.29,GSM1881849,"peripheral blood of H1N1 DEE3 subject 6, hour 29",virus: H1N1,time point: hour 29,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_106,GSM1881849
3,GSM1881850,"H1N1 DEE3 Subject 6, Hour 36",H1N1.DEE3.Subject.6..Hour.36,GSM1881850,"peripheral blood of H1N1 DEE3 subject 6, hour 36",virus: H1N1,time point: hour 36,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_107,GSM1881850
3,GSM1881851,"H1N1 DEE3 Subject 6, Hour 45",H1N1.DEE3.Subject.6..Hour.45,GSM1881851,"peripheral blood of H1N1 DEE3 subject 6, hour 45",virus: H1N1,time point: hour 45,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_108,GSM1881851
4,GSM1881852,"H1N1 DEE3 Subject 6, Hour 53",H1N1.DEE3.Subject.6..Hour.53,GSM1881852,"peripheral blood of H1N1 DEE3 subject 6, hour 53",virus: H1N1,time point: hour 53,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_109,GSM1881852
4,GSM1881853,"H1N1 DEE3 Subject 6, Hour 60",H1N1.DEE3.Subject.6..Hour.60,GSM1881853,"peripheral blood of H1N1 DEE3 subject 6, hour 60",virus: H1N1,time point: hour 60,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_110,GSM1881853
4,GSM1881854,"H1N1 DEE3 Subject 6, Hour 69",H1N1.DEE3.Subject.6..Hour.69,GSM1881854,"peripheral blood of H1N1 DEE3 subject 6, hour 69",virus: H1N1,time point: hour 69,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_111,GSM1881854
4,GSM1881855,"H1N1 DEE3 Subject 6, Hour 77",H1N1.DEE3.Subject.6..Hour.77,GSM1881855,"peripheral blood of H1N1 DEE3 subject 6, hour 77",virus: H1N1,time point: hour 77,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_112,GSM1881855
4,GSM1881856,"H1N1 DEE3 Subject 6, Hour 84",H1N1.DEE3.Subject.6..Hour.84,GSM1881856,"peripheral blood of H1N1 DEE3 subject 6, hour 84",virus: H1N1,time point: hour 84,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_113,GSM1881856
4,GSM1881857,"H1N1 DEE3 Subject 6, Hour 93",H1N1.DEE3.Subject.6..Hour.93,GSM1881857,"peripheral blood of H1N1 DEE3 subject 6, hour 93",virus: H1N1,time point: hour 93,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_114,GSM1881857
4,GSM1881858,"H1N1 DEE3 Subject 6, Hour 101",H1N1.DEE3.Subject.6..Hour.101,GSM1881858,"peripheral blood of H1N1 DEE3 subject 6, hour 101",virus: H1N1,time point: hour 101,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_115,GSM1881858
4,GSM1881859,"H1N1 DEE3 Subject 6, Hour 108",H1N1.DEE3.Subject.6..Hour.108,GSM1881859,"peripheral blood of H1N1 DEE3 subject 6, hour 108",virus: H1N1,time point: hour 108,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_116,GSM1881859
4,GSM1881860,"H1N1 DEE3 Subject 6, Hour 118",H1N1.DEE3.Subject.6..Hour.118,GSM1881860,"peripheral blood of H1N1 DEE3 subject 6, hour 118",virus: H1N1,time point: hour 118,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_117,GSM1881860
4,GSM1881861,"H1N1 DEE3 Subject 6, Hour 125",H1N1.DEE3.Subject.6..Hour.125,GSM1881861,"peripheral blood of H1N1 DEE3 subject 6, hour 125",virus: H1N1,time point: hour 125,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_118,GSM1881861
4,GSM1881862,"H1N1 DEE3 Subject 6, Hour 142",H1N1.DEE3.Subject.6..Hour.142,GSM1881862,"peripheral blood of H1N1 DEE3 subject 6, hour 142",virus: H1N1,time point: hour 142,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_119,GSM1881862
4,GSM1881863,"H1N1 DEE3 Subject 6, Hour 166",H1N1.DEE3.Subject.6..Hour.166,GSM1881863,"peripheral blood of H1N1 DEE3 subject 6, hour 166",virus: H1N1,time point: hour 166,subject: H1N1 DEE3 subject 6,H1N1_DEE3_SAMPLE_120,GSM1881863
1,GSM1881884,"H1N1 DEE3 Subject 8, Hour -21",H1N1.DEE3.Subject.8..Hour..21,GSM1881884,"peripheral blood of H1N1 DEE3 subject 8, hour -21",virus: H1N1,time point: hour -21,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_141,GSM1881884
1,GSM1881885,"H1N1 DEE3 Subject 8, Hour 0",H1N1.DEE3.Subject.8..Hour.0,GSM1881885,"peripheral blood of H1N1 DEE3 subject 8, hour 0",virus: H1N1,time point: hour 0,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_142,GSM1881885
3,GSM1881886,"H1N1 DEE3 Subject 8, Hour 5",H1N1.DEE3.Subject.8..Hour.5,GSM1881886,"peripheral blood of H1N1 DEE3 subject 8, hour 5",virus: H1N1,time point: hour 5,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_143,GSM1881886
3,GSM1881887,"H1N1 DEE3 Subject 8, Hour 12",H1N1.DEE3.Subject.8..Hour.12,GSM1881887,"peripheral blood of H1N1 DEE3 subject 8, hour 12",virus: H1N1,time point: hour 12,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_144,GSM1881887
3,GSM1881888,"H1N1 DEE3 Subject 8, Hour 21",H1N1.DEE3.Subject.8..Hour.21,GSM1881888,"peripheral blood of H1N1 DEE3 subject 8, hour 21",virus: H1N1,time point: hour 21,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_145,GSM1881888
4,GSM1881889,"H1N1 DEE3 Subject 8, Hour 29",H1N1.DEE3.Subject.8..Hour.29,GSM1881889,"peripheral blood of H1N1 DEE3 subject 8, hour 29",virus: H1N1,time point: hour 29,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_146,GSM1881889
4,GSM1881890,"H1N1 DEE3 Subject 8, Hour 36",H1N1.DEE3.Subject.8..Hour.36,GSM1881890,"peripheral blood of H1N1 DEE3 subject 8, hour 36",virus: H1N1,time point: hour 36,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_147,GSM1881890
4,GSM1881891,"H1N1 DEE3 Subject 8, Hour 45",H1N1.DEE3.Subject.8..Hour.45,GSM1881891,"peripheral blood of H1N1 DEE3 subject 8, hour 45",virus: H1N1,time point: hour 45,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_148,GSM1881891
4,GSM1881892,"H1N1 DEE3 Subject 8, Hour 53",H1N1.DEE3.Subject.8..Hour.53,GSM1881892,"peripheral blood of H1N1 DEE3 subject 8, hour 53",virus: H1N1,time point: hour 53,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_149,GSM1881892
4,GSM1881893,"H1N1 DEE3 Subject 8, Hour 60",H1N1.DEE3.Subject.8..Hour.60,GSM1881893,"peripheral blood of H1N1 DEE3 subject 8, hour 60",virus: H1N1,time point: hour 60,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_150,GSM1881893
4,GSM1881894,"H1N1 DEE3 Subject 8, Hour 69",H1N1.DEE3.Subject.8..Hour.69,GSM1881894,"peripheral blood of H1N1 DEE3 subject 8, hour 69",virus: H1N1,time point: hour 69,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_151,GSM1881894
4,GSM1881895,"H1N1 DEE3 Subject 8, Hour 77",H1N1.DEE3.Subject.8..Hour.77,GSM1881895,"peripheral blood of H1N1 DEE3 subject 8, hour 77",virus: H1N1,time point: hour 77,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_152,GSM1881895
4,GSM1881896,"H1N1 DEE3 Subject 8, Hour 84",H1N1.DEE3.Subject.8..Hour.84,GSM1881896,"peripheral blood of H1N1 DEE3 subject 8, hour 84",virus: H1N1,time point: hour 84,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_153,GSM1881896
4,GSM1881897,"H1N1 DEE3 Subject 8, Hour 93",H1N1.DEE3.Subject.8..Hour.93,GSM1881897,"peripheral blood of H1N1 DEE3 subject 8, hour 93",virus: H1N1,time point: hour 93,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_154,GSM1881897
4,GSM1881898,"H1N1 DEE3 Subject 8, Hour 101",H1N1.DEE3.Subject.8..Hour.101,GSM1881898,"peripheral blood of H1N1 DEE3 subject 8, hour 101",virus: H1N1,time point: hour 101,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_155,GSM1881898
4,GSM1881899,"H1N1 DEE3 Subject 8, Hour 108",H1N1.DEE3.Subject.8..Hour.108,GSM1881899,"peripheral blood of H1N1 DEE3 subject 8, hour 108",virus: H1N1,time point: hour 108,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_156,GSM1881899
4,GSM1881900,"H1N1 DEE3 Subject 8, Hour 118",H1N1.DEE3.Subject.8..Hour.118,GSM1881900,"peripheral blood of H1N1 DEE3 subject 8, hour 118",virus: H1N1,time point: hour 118,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_157,GSM1881900
4,GSM1881901,"H1N1 DEE3 Subject 8, Hour 125",H1N1.DEE3.Subject.8..Hour.125,GSM1881901,"peripheral blood of H1N1 DEE3 subject 8, hour 125",virus: H1N1,time point: hour 125,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_158,GSM1881901
4,GSM1881902,"H1N1 DEE3 Subject 8, Hour 142",H1N1.DEE3.Subject.8..Hour.142,GSM1881902,"peripheral blood of H1N1 DEE3 subject 8, hour 142",virus: H1N1,time point: hour 142,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_159,GSM1881902
4,GSM1881903,"H1N1 DEE3 Subject 8, Hour 166",H1N1.DEE3.Subject.8..Hour.166,GSM1881903,"peripheral blood of H1N1 DEE3 subject 8, hour 166",virus: H1N1,time point: hour 166,subject: H1N1 DEE3 subject 8,H1N1_DEE3_SAMPLE_160,GSM1881903
1,GSM1881904,"H1N1 DEE3 Subject 9, Hour -21",H1N1.DEE3.Subject.9..Hour..21,GSM1881904,"peripheral blood of H1N1 DEE3 subject 9, hour -21",virus: H1N1,time point: hour -21,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_161,GSM1881904
1,GSM1881905,"H1N1 DEE3 Subject 9, Hour 0",H1N1.DEE3.Subject.9..Hour.0,GSM1881905,"peripheral blood of H1N1 DEE3 subject 9, hour 0",virus: H1N1,time point: hour 0,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_162,GSM1881905
3,GSM1881906,"H1N1 DEE3 Subject 9, Hour 5",H1N1.DEE3.Subject.9..Hour.5,GSM1881906,"peripheral blood of H1N1 DEE3 subject 9, hour 5",virus: H1N1,time point: hour 5,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_163,GSM1881906
3,GSM1881907,"H1N1 DEE3 Subject 9, Hour 12",H1N1.DEE3.Subject.9..Hour.12,GSM1881907,"peripheral blood of H1N1 DEE3 subject 9, hour 12",virus: H1N1,time point: hour 12,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_164,GSM1881907
3,GSM1881908,"H1N1 DEE3 Subject 9, Hour 21",H1N1.DEE3.Subject.9..Hour.21,GSM1881908,"peripheral blood of H1N1 DEE3 subject 9, hour 21",virus: H1N1,time point: hour 21,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_165,GSM1881908
3,GSM1881909,"H1N1 DEE3 Subject 9, Hour 29",H1N1.DEE3.Subject.9..Hour.29,GSM1881909,"peripheral blood of H1N1 DEE3 subject 9, hour 29",virus: H1N1,time point: hour 29,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_166,GSM1881909
3,GSM1881910,"H1N1 DEE3 Subject 9, Hour 36",H1N1.DEE3.Subject.9..Hour.36,GSM1881910,"peripheral blood of H1N1 DEE3 subject 9, hour 36",virus: H1N1,time point: hour 36,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_167,GSM1881910
3,GSM1881911,"H1N1 DEE3 Subject 9, Hour 45",H1N1.DEE3.Subject.9..Hour.45,GSM1881911,"peripheral blood of H1N1 DEE3 subject 9, hour 45",virus: H1N1,time point: hour 45,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_168,GSM1881911
4,GSM1881912,"H1N1 DEE3 Subject 9, Hour 53",H1N1.DEE3.Subject.9..Hour.53,GSM1881912,"peripheral blood of H1N1 DEE3 subject 9, hour 53",virus: H1N1,time point: hour 53,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_169,GSM1881912
4,GSM1881913,"H1N1 DEE3 Subject 9, Hour 60",H1N1.DEE3.Subject.9..Hour.60,GSM1881913,"peripheral blood of H1N1 DEE3 subject 9, hour 60",virus: H1N1,time point: hour 60,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_170,GSM1881913
4,GSM1881914,"H1N1 DEE3 Subject 9, Hour 69",H1N1.DEE3.Subject.9..Hour.69,GSM1881914,"peripheral blood of H1N1 DEE3 subject 9, hour 69",virus: H1N1,time point: hour 69,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_171,GSM1881914
4,GSM1881915,"H1N1 DEE3 Subject 9, Hour 77",H1N1.DEE3.Subject.9..Hour.77,GSM1881915,"peripheral blood of H1N1 DEE3 subject 9, hour 77",virus: H1N1,time point: hour 77,subject: H1N1 DEE3 subject 9,H1N1_DEE3_SAMPLE_172,GSM1881915
